project_ID,longitude,latitude,total_c_to_2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
872261219802,35.346577,-14.392955,9817757.87,16,0.0,647.761962891,1.0
872261219858,35.346577,-14.392955,   ,4,0.0,647.761962891,1.0
8722612310060,35.346577,-14.392955,3525126.32,32,0.0,647.761962891,1.0
8722612510058,35.346577,-14.392955,16213487,17,0.0,647.761962891,1.0
8722612510058,35.346577,-14.392955,16213487,17,0.0,647.761962891,1.0
8722612510081,35.346577,-14.392955,,7,0.0,647.761962891,1.0
8722612510081,35.346577,-14.392955,5648716,7,0.0,647.761962891,1.0
8722612510081,35.346577,-14.392955,,7,0.0,647.761962891,1.0
8722612510084,35.346577,-14.392955,4665000,8,0.0,647.761962891,1.0
8722612610455,35.346577,-14.392955,25000000,18,0.0,647.761962891,1.0
8722612610612,35.346577,-14.392955,4593815,10,0.0,647.761962891,1.0
8722612610656,35.346577,-14.392955, $-   ,4,0.0,647.761962891,1.0
8722612610659,35.346577,-14.392955, $-   ,16,0.0,647.761962891,1.0
8722612610717,35.346577,-14.392955,4640356,12,0.0,647.761962891,1.0
872261299890,35.34658,-14.39296,22235530.6,28,0.0,647.761962891,1.0
8722612310060,35.366667,-15.266667,3525126.32,32,0.0,647.761962891,1.0
872261219802,35.418291,-15.430074,9817757.87,16,5.0,647.761962891,1.0
872261219858,35.418291,-15.430074,   ,4,5.0,647.761962891,1.0
872261259789,35.418291,-15.430074,400000,19,5.0,647.761962891,1.0
872261299890,35.418291,-15.430074,22235530.6,28,5.0,647.761962891,1.0
8722612310060,35.418291,-15.430074,3525126.32,32,5.0,647.761962891,1.0
8722612510058,35.418291,-15.430074,16213487,17,5.0,647.761962891,1.0
8722612510058,35.418291,-15.430074,16213487,17,5.0,647.761962891,1.0
8722612510081,35.418291,-15.430074,,7,5.0,647.761962891,1.0
8722612510081,35.418291,-15.430074,5648716,7,5.0,647.761962891,1.0
8722612510081,35.418291,-15.430074,,7,5.0,647.761962891,1.0
8722612510514,35.418291,-15.430074,2500000,11,5.0,647.761962891,1.0
8722612610455,35.418291,-15.430074,25000000,18,5.0,647.761962891,1.0
8722612610612,35.418291,-15.430074,4593815,10,5.0,647.761962891,1.0
8722612610622,35.418291,-15.430074,   ,1,5.0,647.761962891,1.0
8722612610659,35.418291,-15.430074, $-   ,16,5.0,647.761962891,1.0
8722612610717,35.418291,-15.430074,4640356,12,5.0,647.761962891,1.0
8722612610717,35.418291,-15.430074,4640356,12,5.0,647.761962891,1.0
8722612610722,35.418291,-15.430074,2400000,3,5.0,647.761962891,1.0
8722612110283,35.433333,-14.783333,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.433333,-15.033333,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.45,-14.966667,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.45,-15.033333,2741764.92,14,7.0,647.761962891,1.0
8722612110283,35.466667,-14.866667,2741764.92,14,7.0,647.761962891,1.0
8722612410555,35.466667,-14.866667, $-   ,33,7.0,647.761962891,1.0
872261299890,35.4999,-15.9344,22235530.6,28,3.0,647.761962891,1.0
8722612510201,35.499904,-15.934395,300000,2,3.0,647.761962891,1.0
8722612510514,35.499904,-15.934395,2500000,11,3.0,647.761962891,1.0
8722612610455,35.499904,-15.934395,25000000,18,3.0,647.761962891,1.0
8722612610659,35.499904,-15.934395, $-   ,16,3.0,647.761962891,1.0
8722612610717,35.499904,-15.934395,4640356,12,3.0,647.761962891,1.0
8722612610717,35.499904,-15.934395,4640356,12,3.0,647.761962891,1.0
872261289839,35.5,-16.03163,322189.38,31,3.0,545.293273926,2.0
872261239867,35.504015,-16.025439,13064587.68,13,3.0,545.293273926,2.0
872261259789,35.504015,-16.025439,400000,19,3.0,545.293273926,2.0
